Date,Price
September 20 - 2017 at 06:00PM,$3990.70
September 21 - 2017 at 05:59PM,$3749.45
September 22 - 2017 at 06:00PM,$3531.57
September 23 - 2017 at 06:00PM,$3750.01
September 24 - 2017 at 05:59PM,$3707.48
September 25 - 2017 at 05:59PM,$3923.99
September 26 - 2017 at 06:00PM,$3927.33
September 27 - 2017 at 05:59PM,$4073.78
September 28 - 2017 at 06:00PM,$4139.03
September 29 - 2017 at 05:59PM,$4187.37
September 30 - 2017 at 06:00PM,$4330.25
October 1 - 2017 at 05:59PM,$4270.01
October 2 - 2017 at 05:59PM,$4380.46
October 3 - 2017 at 06:00PM,$4292.80
October 4 - 2017 at 05:59PM,$4212.04
October 5 - 2017 at 05:59PM,$4321.98
October 6 - 2017 at 06:00PM,$4382.01
October 7 - 2017 at 06:00PM,$4346.98
October 8 - 2017 at 05:59PM,$4569.99
October 9 - 2017 at 06:00PM,$4645.25
October 10 - 2017 at 05:59PM,$4802.02
October 11 - 2017 at 05:59PM,$4839.01
October 12 - 2017 at 06:00PM,$5297.06
October 13 - 2017 at 06:00PM,$5714.95
October 14 - 2017 at 06:00PM,$5709.83
October 15 - 2017 at 06:00PM,$5534.16
October 16 - 2017 at 05:59PM,$5699.97
October 17 - 2017 at 05:59PM,$5589.51
October 18 - 2017 at 05:59PM,$5342.02
October 19 - 2017 at 06:00PM,$5650.22
October 20 - 2017 at 05:59PM,$5964.24
October 21 - 2017 at 05:59PM,$6165.91
October 22 - 2017 at 06:00PM,$6018.87
October 23 - 2017 at 05:59PM,$5791.99
October 24 - 2017 at 05:59PM,$5648.52
October 25 - 2017 at 05:59PM,$5483.92
October 26 - 2017 at 05:59PM,$5951.26
October 27 - 2017 at 06:00PM,$5756.38
October 28 - 2017 at 06:00PM,$5715.01
October 29 - 2017 at 04:59PM,$5986.27
October 30 - 2017 at 04:59PM,$6087.02
October 31 - 2017 at 05:00PM,$6365.68
November 1 - 2017 at 05:00PM,$6569.35
November 2 - 2017 at 04:59PM,$7077.99
November 3 - 2017 at 04:59PM,$7373.00
November 4 - 2017 at 05:00PM,$7334.78
November 5 - 2017 at 05:59PM,$7535.06
November 6 - 2017 at 06:00PM,$7152.81
November 7 - 2017 at 05:59PM,$7006.04
November 8 - 2017 at 05:59PM,$7475.00
November 9 - 2017 at 05:59PM,$7171.12
November 10 - 2017 at 05:59PM,$6894.79
November 11 - 2017 at 06:00PM,$6401.03
November 17 - 2017 at 06:00PM,$7888.01
November 18 - 2017 at 06:00PM,$7660.01
November 19 - 2017 at 05:59PM,$7799.95
November 20 - 2017 at 06:00PM,$8240.01
November 21 - 2017 at 05:59PM,$8282.00
November 22 - 2017 at 05:59PM,$8200.00
November 23 - 2017 at 05:59PM,$8178.00
November 24 - 2017 at 06:00PM,$8200.00
November 25 - 2017 at 05:59PM,$8660.17
November 26 - 2017 at 06:00PM,$9383.00
November 27 - 2017 at 06:00PM,$9604.09
November 28 - 2017 at 05:59PM,$9938.94
November 29 - 2017 at 06:00PM,$10827.46
November 30 - 2017 at 06:00PM,$9469.28
December 1 - 2017 at 05:59PM,$10620.99
December 2 - 2017 at 06:00PM,$10866.00
December 3 - 2017 at 06:00PM,$11695.37
December 4 - 2017 at 05:59PM,$11300.00
December 5 - 2017 at 06:00PM,$11700.01
December 6 - 2017 at 05:59PM,$12819.83
December 7 - 2017 at 05:59PM,$16260.01
December 8 - 2017 at 06:00PM,$15020.00
December 9 - 2017 at 05:59PM,$15068.00
December 10 - 2017 at 06:00PM,$15525.00
December 11 - 2017 at 06:00PM,$16649.99
December 12 - 2017 at 06:00PM,$17394.99
December 13 - 2017 at 06:00PM,$16986.36
December 14 - 2017 at 06:00PM,$16710.97
December 15 - 2017 at 06:00PM,$17544.60
December 16 - 2017 at 05:59PM,$18969.99
December 17 - 2017 at 05:59PM,$19405.01
December 18 - 2017 at 05:59PM,$18684.05
December 19 - 2017 at 06:00PM,$18429.33
December 20 - 2017 at 05:59PM,$16300.00
December 21 - 2017 at 06:00PM,$15841.68
December 22 - 2017 at 06:00PM,$12924.06
December 23 - 2017 at 05:59PM,$15307.00
December 24 - 2017 at 06:00PM,$13986.46
December 25 - 2017 at 05:59PM,$14268.75
December 26 - 2017 at 05:59PM,$16099.00
December 27 - 2017 at 06:00PM,$14754.62
December 28 - 2017 at 06:00PM,$13985.89
December 29 - 2017 at 06:00PM,$14700.03
December 30 - 2017 at 06:00PM,$12577.57
December 31 - 2017 at 05:59PM,$14010.00
January 1 - 2018 at 06:00PM,$13076.52
January 2 - 2018 at 06:00PM,$13709.71
January 3 - 2018 at 06:00PM,$15111.00
January 4 - 2018 at 05:59PM,$14522.26
January 5 - 2018 at 06:00PM,$16275.00
January 6 - 2018 at 06:00PM,$16893.18
January 7 - 2018 at 05:59PM,$16145.28
January 8 - 2018 at 06:00PM,$14900.83
January 9 - 2018 at 05:59PM,$14969.98
January 10 - 2018 at 06:00PM,$14525.00
January 11 - 2018 at 05:59PM,$13900.42
January 12 - 2018 at 06:00PM,$13580.01
January 13 - 2018 at 06:00PM,$14309.69
January 14 - 2018 at 05:59PM,$13397.98
January 15 - 2018 at 05:59PM,$14100.00
January 16 - 2018 at 06:00PM,$12068.29
January 17 - 2018 at 06:00PM,$10367.91
January 18 - 2018 at 06:00PM,$11751.16
January 19 - 2018 at 06:00PM,$11650.01
January 20 - 2018 at 05:59PM,$12830.01
January 21 - 2018 at 05:59PM,$11311.86
January 22 - 2018 at 05:59PM,$10549.01
January 23 - 2018 at 06:00PM,$11308.73
January 24 - 2018 at 05:59PM,$11033.26
January 25 - 2018 at 05:59PM,$10875.02
January 26 - 2018 at 06:00PM,$11091.00
January 27 - 2018 at 06:00PM,$11480.00
January 28 - 2018 at 06:00PM,$11425.99
January 29 - 2018 at 06:00PM,$11082.29
January 30 - 2018 at 05:59PM,$10366.01
January 31 - 2018 at 06:00PM,$9962.49
February 1 - 2018 at 05:59PM,$8936.12
February 2 - 2018 at 06:00PM,$9064.00
February 3 - 2018 at 06:00PM,$9312.68
February 4 - 2018 at 06:00PM,$8402.07
February 5 - 2018 at 06:00PM,$7276.37
February 6 - 2018 at 06:00PM,$7129.80
February 7 - 2018 at 06:00PM,$8023.00
February 8 - 2018 at 05:59PM,$8298.01
February 9 - 2018 at 06:00PM,$8382.56
February 10 - 2018 at 05:59PM,$8316.41
February 11 - 2018 at 06:00PM,$8290.01
February 12 - 2018 at 05:59PM,$8668.00
February 13 - 2018 at 05:59PM,$8560.00
February 14 - 2018 at 05:59PM,$9271.83
February 15 - 2018 at 05:59PM,$9919.99
February 16 - 2018 at 06:00PM,$10077.00
February 17 - 2018 at 05:59PM,$10837.96
February 18 - 2018 at 06:00PM,$10606.42
February 19 - 2018 at 05:59PM,$11083.05
February 20 - 2018 at 05:59PM,$11593.86
February 21 - 2018 at 06:00PM,$10473.61
February 22 - 2018 at 06:00PM,$9935.38
February 23 - 2018 at 05:59PM,$10081.25
February 24 - 2018 at 05:59PM,$9792.65
February 25 - 2018 at 06:00PM,$9419.99
February 26 - 2018 at 06:00PM,$10196.62
February 27 - 2018 at 06:00PM,$10630.83
February 28 - 2018 at 05:59PM,$10400.01
March 1 - 2018 at 06:00PM,$10725.00
March 2 - 2018 at 06:00PM,$10852.67
March 3 - 2018 at 05:59PM,$11448.96
March 4 - 2018 at 06:00PM,$11138.28
March 5 - 2018 at 06:00PM,$11514.24
March 6 - 2018 at 06:00PM,$10950.69
March 7 - 2018 at 06:00PM,$9933.60
March 8 - 2018 at 05:59PM,$9428.38
March 9 - 2018 at 05:59PM,$8710.76
March 10 - 2018 at 06:00PM,$9402.67
March 11 - 2018 at 05:00PM,$9072.88
March 12 - 2018 at 05:00PM,$9168.25
March 13 - 2018 at 05:00PM,$9101.10
March 14 - 2018 at 05:00PM,$8738.01
March 15 - 2018 at 05:00PM,$8103.03
March 16 - 2018 at 05:00PM,$8554.04
March 17 - 2018 at 04:59PM,$7906.44
March 18 - 2018 at 05:00PM,$7350.01
March 19 - 2018 at 04:59PM,$8574.67
March 20 - 2018 at 05:00PM,$8524.71
March 21 - 2018 at 04:59PM,$9045.95
March 22 - 2018 at 05:00PM,$8612.12
March 23 - 2018 at 05:00PM,$8631.00
March 24 - 2018 at 04:59PM,$8954.99
March 25 - 2018 at 06:00PM,$8479.79
March 26 - 2018 at 05:59PM,$8080.00
March 27 - 2018 at 06:00PM,$8066.99
March 28 - 2018 at 05:59PM,$7858.22
March 29 - 2018 at 06:00PM,$7429.29
March 30 - 2018 at 05:59PM,$6774.65
March 31 - 2018 at 05:59PM,$7058.00
April 1 - 2018 at 05:59PM,$6459.00
April 2 - 2018 at 06:00PM,$7023.52
April 3 - 2018 at 05:59PM,$7390.00
April 4 - 2018 at 06:00PM,$6779.18
April 5 - 2018 at 06:00PM,$6743.78
April 6 - 2018 at 06:00PM,$6594.57
April 7 - 2018 at 05:59PM,$7006.01
April 8 - 2018 at 06:00PM,$7044.73
April 9 - 2018 at 06:00PM,$6724.01
April 10 - 2018 at 06:00PM,$6822.61
April 11 - 2018 at 06:00PM,$6930.00
April 12 - 2018 at 05:59PM,$7600.50
April 13 - 2018 at 05:59PM,$8131.63
April 14 - 2018 at 05:59PM,$7965.11
April 15 - 2018 at 06:00PM,$8281.01
April 16 - 2018 at 06:00PM,$7975.00
April 17 - 2018 at 06:00PM,$8089.00
April 18 - 2018 at 05:59PM,$8008.98
April 19 - 2018 at 06:00PM,$8219.00
April 20 - 2018 at 05:59PM,$8476.02
April 21 - 2018 at 05:59PM,$8817.00
April 22 - 2018 at 06:00PM,$8931.01
April 23 - 2018 at 05:59PM,$8905.90
April 24 - 2018 at 06:00PM,$9350.12
April 25 - 2018 at 05:59PM,$8939.43
April 26 - 2018 at 06:00PM,$8799.72
April 27 - 2018 at 05:59PM,$9225.00
April 28 - 2018 at 05:59PM,$9336.00
April 29 - 2018 at 06:00PM,$9325.01
April 30 - 2018 at 05:59PM,$9275.00
May 1 - 2018 at 05:59PM,$8913.38
May 2 - 2018 at 06:00PM,$9134.00
May 3 - 2018 at 05:59PM,$9389.00
May 4 - 2018 at 05:59PM,$9591.00
May 5 - 2018 at 06:00PM,$9889.01
May 6 - 2018 at 05:59PM,$9460.43
May 7 - 2018 at 05:59PM,$9320.58
May 8 - 2018 at 06:00PM,$9172.76
May 9 - 2018 at 06:00PM,$9279.06
May 10 - 2018 at 05:59PM,$9319.60
May 11 - 2018 at 05:59PM,$8576.09
May 12 - 2018 at 06:00PM,$8364.01
May 13 - 2018 at 05:59PM,$8619.44
May 14 - 2018 at 05:59PM,$8782.01
May 15 - 2018 at 05:59PM,$8529.86
May 16 - 2018 at 06:00PM,$8280.01
May 17 - 2018 at 06:00PM,$8299.01
May 18 - 2018 at 06:00PM,$8111.00
May 19 - 2018 at 06:00PM,$8319.24
May 20 - 2018 at 06:00PM,$8373.79
May 21 - 2018 at 05:59PM,$8404.00
May 22 - 2018 at 05:59PM,$8230.36
May 23 - 2018 at 05:59PM,$7717.01
May 24 - 2018 at 05:59PM,$7567.58
May 25 - 2018 at 05:59PM,$7496.01
May 26 - 2018 at 06:00PM,$7535.43
May 27 - 2018 at 06:00PM,$7337.18
May 28 - 2018 at 05:59PM,$7225.79
May 29 - 2018 at 06:00PM,$7425.00
May 30 - 2018 at 05:59PM,$7325.21
May 31 - 2018 at 05:59PM,$7552.29
June 1 - 2018 at 05:59PM,$7438.81
June 2 - 2018 at 05:59PM,$7618.02
June 3 - 2018 at 06:00PM,$7724.86
June 4 - 2018 at 06:00PM,$7496.18
June 5 - 2018 at 05:59PM,$7513.89
June 6 - 2018 at 05:59PM,$7655.00
June 7 - 2018 at 06:00PM,$7683.85
June 8 - 2018 at 06:00PM,$7630.35
June 9 - 2018 at 06:00PM,$7617.70
June 10 - 2018 at 06:00PM,$7237.00
June 11 - 2018 at 06:00PM,$6711.69
June 12 - 2018 at 05:59PM,$6764.80
June 13 - 2018 at 05:59PM,$6373.60
June 14 - 2018 at 05:59PM,$6335.98
June 15 - 2018 at 05:59PM,$6551.40
June 16 - 2018 at 05:59PM,$6363.82
June 17 - 2018 at 06:00PM,$6515.01
June 18 - 2018 at 05:59PM,$6466.88
June 19 - 2018 at 05:59PM,$6750.30
June 20 - 2018 at 06:00PM,$6756.85
June 21 - 2018 at 05:59PM,$6717.00
June 22 - 2018 at 06:00PM,$6153.05
June 23 - 2018 at 05:59PM,$6112.25
June 24 - 2018 at 05:59PM,$5783.08
June 25 - 2018 at 05:59PM,$6290.00
June 26 - 2018 at 05:59PM,$6185.00
June 27 - 2018 at 06:00PM,$6110.41
June 28 - 2018 at 06:00PM,$6098.75
June 29 - 2018 at 06:00PM,$5898.58
June 30 - 2018 at 05:59PM,$6375.63
July 1 - 2018 at 05:59PM,$6317.91
July 2 - 2018 at 05:59PM,$6611.00
July 3 - 2018 at 05:59PM,$6588.58
July 4 - 2018 at 05:59PM,$6679.50
July 5 - 2018 at 05:59PM,$6609.30
July 6 - 2018 at 05:59PM,$6566.77
July 7 - 2018 at 05:59PM,$6555.75
July 8 - 2018 at 05:59PM,$6742.00
July 9 - 2018 at 05:59PM,$6715.90
July 10 - 2018 at 06:00PM,$6380.70
July 11 - 2018 at 05:59PM,$6365.95
July 12 - 2018 at 06:00PM,$6168.79
July 13 - 2018 at 05:59PM,$6257.13
July 14 - 2018 at 06:00PM,$6241.31
July 15 - 2018 at 05:59PM,$6370.48
July 16 - 2018 at 06:00PM,$6629.00
July 17 - 2018 at 05:59PM,$6761.01
July 18 - 2018 at 05:59PM,$7418.68
July 19 - 2018 at 05:59PM,$7371.73
July 20 - 2018 at 05:59PM,$7463.58
July 21 - 2018 at 05:59PM,$7389.21
July 22 - 2018 at 05:59PM,$7517.33
July 23 - 2018 at 06:00PM,$7725.51
July 24 - 2018 at 06:00PM,$8177.09
July 25 - 2018 at 06:00PM,$8091.00
July 26 - 2018 at 05:59PM,$8201.68
July 27 - 2018 at 06:00PM,$8145.00
July 28 - 2018 at 06:00PM,$8103.62
July 29 - 2018 at 05:59PM,$8221.23
July 30 - 2018 at 05:59PM,$8115.00
July 31 - 2018 at 06:00PM,$7751.00
August 1 - 2018 at 06:00PM,$7599.90
August 2 - 2018 at 05:59PM,$7526.21
August 9 - 2018 at 05:59PM,$6443.00
August 10 - 2018 at 05:59PM,$6450.82
August 11 - 2018 at 05:59PM,$6117.06
August 12 - 2018 at 06:00PM,$6314.60
August 13 - 2018 at 06:00PM,$6291.51
August 14 - 2018 at 05:59PM,$6038.39
August 15 - 2018 at 05:59PM,$6450.01